Country Name,Series Name,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Europe & Central Asia,GDP (current US$),13488994424517.5,15722616205763.6,16747765816605.5,18128083129847.2,21178802883227.4,23242038760382.1,20443199631948.9,20924691161658.7,23182627672175.1,22340699161445,23349158951152.4,23654699725965,20364623091493.9,20273841359271,0
Europe & Central Asia (excluding high income),GDP (current US$),1037512319106.79,1367597071745.93,1726462747692.52,2114323841124.1,2727649759198.84,3372332744074.17,2655248450178.57,3156255418573.9,3891866999524.88,4111011203800.41,4369243129067.55,4078845602865.82,3121184116603.81,2991823901020.52,0
Europe & Central Asia (IDA & IBRD countries),GDP (current US$),1255030961431.3,1622699324589.32,2032597383286.26,2459150271422.24,3156899406793.45,3906148533547.85,3095595026136.47,3635513302315.66,4420592112570.7,4611295207484.79,4893444280674.74,4623921511711.82,3598463764358.51,3463188309734.48,0
European Union,GDP (current US$),11957243598418.9,13806710766586,14441217356828.2,15405419702532.5,17795826802969.5,19136672544394.8,17101456870607.7,16992731157166.1,18352575953426.8,17290201940776.9,18026881017254.8,18632423873526.3,16410700117941.6,16487344364513.9,0
Faroe Islands,GDP (current US$),1486861878.95624,1683997930.26322,1730894295.38595,1970135198.76236,2278229880.41222,2413251995.84159,2257083698.63269,2301168186.90991,2468754074.54319,2356495468.27795,2613464380.46401,2810547884.18708,2476746087.18917,0,0
Fiji,GDP (current US$),2315935752.71653,2727507212.92556,3006725014.78415,3102741451.01664,3405050611.68726,3523185919.55826,2870624635.68032,3140508835.9485,3774530615.65916,3972012570.53467,4190143206.25611,4469573275.40532,4391113415.33181,4703632978.46947,0
Finland,GDP (current US$),171071106094.808,196768065557.487,204436015420.968,216552502822.732,255384615384.615,283742493042.332,251499027507.641,247799815768.477,273674236772.815,256706466091.089,269980111642.898,272609288689.575,232439324529.645,238502900311.9,0
Fragile and conflict affected situations,GDP (current US$),220476383127.864,254384379904.583,308822100936.666,364922330440.8,448717231807.979,579390636982.778,539487601072.752,643371393579.443,700475870799.069,756982984497.055,810325310133.497,852105715991.816,770043726631.159,744250583417.645,0
France,GDP (current US$),1848124153498.87,2124112242364.04,2203678646934.46,2325011918203.49,2663112510265.54,2923465651091.26,2693827452070.02,2646837111794.78,2862680142625.14,2681416108537.39,2808511203185.39,2849305322684.76,2433562015516.21,2465453975282.24,0
French Polynesia,GDP (current US$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
